Gene	Alleles
CYP3A4	['*1', '*2', '*3', '*4', '*5', '*6', '*7', '*10', '*11', '*13', '*14', '*17', '*20', '*21', '*22', '*26', '*29', '*30', '*31', '*32', '*33', '*34', '*35', '*37', '*9', '*8', '*12', '*15', '*16', '*18', '*19', '*23', '*24', '*28', '*38', '*39', '*40', '*41', '*42', '*43', '*44', '*45', '*46', '*47', '*48']
NAT2	['*1', '*4', '*5', '*6', '*7', '*10', '*14', '*15', '*16', '*19', '*21', '*27', '*29', '*30', '*31', '*32', '*33', '*34', '*35', '*36', '*37', '*38', '*39', '*40', '*41', '*42', '*43', '*44', '*45', '*46', '*47', '*48', '*49', '*50', '*51', '*52', '*53', '*54', '*55', '*56', '*57', '*58', '*59', '*60', '*61', '*62', '*63', '*64']
CYP2A13	['*1', '*2', '*3', '*4', '*5', '*6', '*7', '*8', '*9', '*10']
CYP1A2	['*1', '*2', '*3', '*5', '*6', '*7', '*8', '*9', '*10', '*12', '*13', '*14', '*15', '*16', '*17', '*18', '*19', '*20', '*21', '*22', '*23', '*24', '*25', '*26', '*27', '*28', '*29', '*30', '*31', '*32', '*33', '*34', '*35', '*36', '*37', '*38', '*39', '*40', '*41', '*42', '*43', '*44', '*45', '*46', '*47', '*4', '*49', '*11']
CYP4F2	['*1', '*2', '*3', '*4', '*5', '*6', '*7', '*16', '*8', '*9', '*10', '*11', '*12', '*13', '*14', '*15', '*17', '*18', '*19', '*20', '*21', '*22', '*23']
CYP2A6	['*4', '*12', '*18', '*34', '*47', '*19', '*2', '*1', '*5', '*6', '*7', '*8', '*9', '*10', '*11', '*13', '*14', '*15', '*16', '*17', '*20', '*21', '*22', '*23', '*24', '*25', '*26', '*27', '*28', '*31', '*35', '*36', '*37', '*38', '*39', '*40', '*41', '*42', '*43', '*44', '*45', '*46', '*48', '*49', '*50', '*51', '*52', '*53', '*54', '*55', '*56']
SLCO1B1	['*1', '*2', '*3', '*4', '*5', '*6', '*7', '*8', '*9', '*10', '*11', '*12', '*13', '*14', '*15', '*16', '*19', '*20', '*23', '*24', '*25', '*26', '*27', '*28', '*29', '*30', '*31', '*32', '*33', '*34', '*36', '*37', '*38', '*39', '*40', '*41', '*42', '*43', '*44', '*45', '*46', '*47', '*48', '*49', '*50', '*51', '*52', '*53', '*54']
CYP2B6	['*1', '*2', '*3', '*4', '*5', '*6', '*7', '*8', '*9', '*10', '*11', '*12', '*13', '*14', '*15', '*17', '*18', '*19', '*20', '*21', '*22', '*23', '*24', '*25', '*26', '*27', '*28', '*29', '*30', '*31', '*32', '*34', '*35', '*36', '*37', '*38', '*33', '*39', '*40', '*41', '*42', '*43', '*44', '*45', '*46', '*47', '*48', '*49', '*50']
CYP2D6	['*1', '*2', '*3', '*4', '*5', '*6', '*7', '*8', '*9', '*10', '*11', '*12', '*13', '*14', '*15', '*17', '*22', '*23', '*24', '*25', '*26', '*27', '*28', '*29', '*30', '*31', '*32', '*33', '*34', '*35', '*37', '*39', '*40', '*41', '*43', '*44', '*45', '*46', '*47', '*48', '*49', '*50', '*51', '*52', '*53', '*54', '*55', '*56', '*58', '*59', '*60', '*61', '*62', '*63', '*64', '*65', '*68', '*69', '*70', '*71', '*72', '*73', '*74', '*75', '*81', '*82', '*84', '*85', '*86', '*87', '*88', '*89', '*90', '*91', '*92', '*93', '*94', '*95', '*96', '*97', '*98', '*99', '*100', '*101', '*102', '*103', '*104', '*105', '*106', '*107', '*108', '*109', '*110', '*111', '*112', '*113', '*114', '*115', '*116', '*117', '*118', '*119', '*120', '*121', '*122', '*123', '*124', '*127', '*125', '*126', '*129', '*130', '*131', '*132', '*133', '*134', '*135', '*136', '*137', '*138', '*139', '*140', '*128', '*142', '*143', '*144', '*145', '*18', '*38', '*146', '*149', '*148', '*20', '*147', '*154', '*155', '*156', '*157', '*158', '*159', '*160', '*161', '*162', '*163', '*152', '*153', '*167', '*168', '*169', '*170', '*171', '*151', '*19', '*164', '*165', '*166', '*42', '*172', '*36', '*83', '*141', '*173', '*174', '*175', '*176', '*177', '*150', '*178', '*179', '*180', '*181', '*182', '*183', '*184', '*185', '*21']
CYP2C9	['*1', '*2', '*3', '*4', '*5', '*6', '*7', '*8', '*9', '*10', '*11', '*12', '*13', '*14', '*15', '*16', '*17', '*18', '*19', '*20', '*21', '*22', '*23', '*24', '*25', '*26', '*27', '*28', '*29', '*30', '*31', '*32', '*33', '*34', '*35', '*36', '*37', '*38', '*39', '*40', '*41', '*42', '*43', '*44', '*45', '*46', '*47', '*48', '*49', '*50', '*51', '*52', '*53', '*54', '*55', '*56', '*57', '*58', '*59', '*60', '*61', '*62', '*63', '*64', '*65', '*66', '*67', '*68', '*69', '*70', '*71', '*72', '*73', '*75', '*76', '*77', '*78', '*79', '*80', '*81', '*82', '*83', '*84', '*85', '*74', '*86', '*87', '*88']
NUDT15	['*1', '*2', '*3', '*4', '*5', '*6', '*7', '*8', '*9', '*10', '*11', '*12', '*13', '*14', '*15', '*16', '*17', '*18', '*19', '*20', '*21']
CYP2C8	['*1', '*2', '*3', '*4', '*5', '*6', '*7', '*8', '*9', '*10', '*11', '*12', '*13', '*14', '*15', '*16', '*17', '*18']
CYP2C19	['*1', '*2', '*3', '*4', '*6', '*9', '*10', '*11', '*12', '*13', '*14', '*15', '*17', '*18', '*19', '*22', '*23', '*24', '*25', '*26', '*28', '*29', '*31', '*32', '*33', '*35', '*36', '*37', '*39', '*5', '*7', '*8', '*16', '*30', '*34', '*38', '*40', '*41']
CYP3A5	['*1', '*3', '*6', '*7', '*8', '*9']
