Allele	Mean_coverage	Min_coverage	Max_coverage
2	4.83	0	19
2	4.87	0	16
1	5.03	0	19
1	4.87	0	18
20	4.84	0	18
20	4.83	0	17
14	4.99	0	19
14	4.85	0	17
18	4.87	0	17
18	4.94	0	19
8	4.79	0	18
8	4.88	0	18
3	4.84	0	17
3	4.91	0	18
7	4.90	0	17
7	4.87	0	23
11	4.90	0	18
11	4.90	0	21
19	4.84	0	19
19	4.84	0	16
13	4.91	0	19
13	4.98	0	19
15	4.93	0	19
15	4.80	0	19
6	5.01	0	21
6	4.77	0	20
12	4.87	0	19
12	4.85	0	18
4	4.93	0	19
4	4.80	0	17
5	4.93	0	17
5	4.86	0	17
2	4.90	0	18
2	4.78	0	18
17	4.81	0	19
17	4.86	0	20
9	4.98	0	23
9	4.86	0	21
10	4.77	0	17
10	4.78	0	20
16	4.83	0	16
16	4.79	0	17
27	4.97	0	18
27	4.77	0	18
26	4.85	0	19
26	4.84	0	22
21	4.82	0	18
21	4.87	0	18
24	4.75	0	18
24	4.79	0	19
22	4.79	0	18
22	4.85	0	21
25	4.87	0	20
25	5.01	0	18
23	4.88	0	19
23	4.79	0	20
35	4.87	0	18
35	4.84	0	20
28	4.76	0	16
28	4.80	0	20
45	5.03	0	17
45	4.91	0	18
46	4.85	0	19
46	4.97	0	19
47	4.94	0	18
47	4.90	0	17
55	4.86	0	18
55	4.74	0	22
61	4.89	0	16
61	4.93	0	19
62	4.84	0	20
48	4.91	0	19
48	4.80	0	18
60	4.81	0	18
60	4.85	0	18
53	4.85	0	21
53	4.87	0	17
59	4.77	0	17
59	4.91	0	17
52	5.03	0	20
52	4.92	0	18
54	4.90	0	20
54	4.94	0	19
58	4.84	0	18
58	4.94	0	18
56	4.80	0	18
56	4.98	0	18
57	4.71	0	18
57	5.03	0	18
49	4.85	0	18
49	4.84	0	18
50	4.88	0	18
50	4.81	0	17
51	4.88	0	26
51	4.88	0	18
69	4.87	0	18
69	4.80	0	23
78	4.93	0	20
78	4.91	0	19
71	4.95	0	16
71	4.92	0	19
75	4.81	0	17
75	4.94	0	19
77	4.81	0	17
77	5.01	0	18
68	5.00	0	18
68	4.70	0	18
72	4.97	0	20
72	4.98	0	18
76	4.82	0	20
76	4.84	0	18
70	4.74	0	18
70	4.90	0	18
74	4.84	0	18
74	4.83	0	18
73	4.87	0	17
73	4.97	0	19
29	4.92	0	18
29	4.90	0	19
32	4.92	0	19
32	4.81	0	19
30	4.89	0	18
30	4.83	0	17
31	4.84	0	18
31	4.85	0	17
33	4.86	0	19
33	4.88	0	19
34	4.94	0	22
34	4.99	0	18
37	4.90	0	18
37	5.03	0	20
65	5.07	0	19
65	4.91	0	19
64	4.83	0	18
64	4.81	0	17
63	4.84	0	18
63	4.79	0	20
66	4.85	0	17
66	4.94	0	17
67	4.85	0	17
67	4.98	0	18
42	4.90	0	18
42	4.84	0	18
41	4.83	0	20
41	4.78	0	18
38	4.90	0	20
38	4.97	0	19
43	4.96	0	21
43	4.95	0	21
36	4.78	0	17
36	4.84	0	18
44	4.79	0	21
44	4.81	0	17
40	4.95	0	18
40	5.01	0	19
39	4.84	0	18
39	4.77	0	19
80	4.83	0	17
80	4.98	0	19
81	5.08	0	22
81	4.73	0	21
85	4.82	0	20
85	4.85	0	18
82	4.91	0	18
82	4.88	0	25
83	4.83	0	18
83	4.91	0	17
79	4.93	0	17
79	4.85	0	17
84	4.92	0	17
84	4.93	0	18
